from_bus,to_bus,P_MW,Q_MVar,l_pu,I_magnitude_pu,r_ij,x_ij
1,2,5.407758150162048,2.491385047889039,0.3545084698438333,0.5954061385674767,0.005752591161723931,0.002932448856844086
2,3,4.92622519893559,2.2599085145105144,0.2960187116100345,0.5440760163892859,0.03075951673242839,0.0156667639990117
3,4,2.364550210261513,1.6854198474793283,0.08826290799627268,0.29709074034084715,0.022835665566062455,0.011629967381185907
4,5,2.224394787772603,1.5951549000696756,0.07965299706825027,0.28222862552946376,0.023777792751984703,0.012110389853477383
5,6,2.1454550632089693,1.5555086115947314,0.07581726543369807,0.2753493516129974,0.05109948114372992,0.04411151791039933
6,7,1.095531427962586,0.5281199788910181,0.016601429659408043,0.12884653530230467,0.011679881404281126,0.0386084968641515
7,8,0.893592400666952,0.42171041644156126,0.011040439274585865,0.1050734946339269,0.044386045037423036,0.014668483537107332
8,9,0.6886919863182049,0.3200909514241447,0.006590041975752887,0.08117907350883531,0.0642643047350938,0.046170471363077094
9,10,0.6244569416607365,0.2970482979809149,0.005538222375242962,0.07441923390658467,0.06513780013926013,0.046170471363077094
10,11,0.560849465438683,0.2744912746051299,0.00457313593629146,0.06762496533301485,0.012266371175649942,0.004055514376486502
11,12,0.5152885076103704,0.24430581041977736,0.003821543379208247,0.06181863294515859,0.02335976280856225,0.00772419507398506
12,13,0.45439580414136105,0.20901062695433037,0.0029493080034201187,0.054307531737505056,0.09159223237972591,0.07206337084372169
13,14,0.39169446710127465,0.17188525619050213,0.002186255724596926,0.04675741357899222,0.03379179363546291,0.04447963383072657
14,15,0.2709556920784753,0.09091281764959812,0.000980887810953614,0.031319128515231935,0.03687398456159265,0.032818470185106155
15,16,0.21059399965849773,0.08059090527581095,0.0006124807227099325,0.024748347878392456,0.046563544294951936,0.03400392823361759
16,17,0.15030880692588072,0.060382637770415915,0.0003170319860424026,0.017805392049668623,0.08042396971217078,0.10737754218358876
17,18,0.09005383721744809,0.04004221661586775,0.00011787967662324601,0.010857240746305943,0.04567133113212491,0.03581331157081926
2,19,0.36113952832300444,0.16108075380717432,0.0015757708352161439,0.03969598008887227,0.01023237473451979,0.009764430768002116
19,20,0.2709782895461879,0.12092688875490733,0.0008882648348204718,0.02980377215757213,0.09385084192478454,0.08456683362907391
20,21,0.1801446455201871,0.08017571130985911,0.0003950526002895948,0.019875930174198007,0.02554974057186496,0.029848585810940652
21,22,0.09004371060569073,0.04005779369546331,9.882555442867096e-05,0.00994110428617822,0.04423006371525048,0.05848051730893536
3,23,2.3806210635452687,0.48811211409032806,0.061819567365953364,0.24863541052302537,0.028151509025703222,0.019235616650319823
23,24,2.273217922458592,0.42622073909692704,0.05690086658773097,0.23853902529299262,0.05602849092438275,0.04424254222102428
24,25,0.42133722558659015,0.2010463491727214,0.0023920159958269616,0.04890824057177851,0.0559037058666447,0.043743401990072095
6,26,0.9511814059923973,0.9739444860827529,0.020801604732208587,0.14422761431920236,0.01266568336041169,0.00645138748505699
26,27,0.8885467406031313,0.9476024939583682,0.019018295279060436,0.13790683550520777,0.017731956704576366,0.009028198927347643
27,28,0.8251744247183,0.9208854844279843,0.017326490696171128,0.13163012837557794,0.06607368807229547,0.05825590420500687
28,29,0.7537261733018364,0.8907917806059334,0.015815584658275986,0.1257600280624809,0.05017607171646838,0.04371220572563759
29,30,0.6257905342013212,0.8138784397033956,0.012463928007557756,0.11164196347054164,0.03166420840102922,0.016128468712642473
30,31,0.421843930062054,0.2118681989743303,0.002655779621804395,0.05153425677939282,0.06079528012997611,0.06008400530086925
31,32,0.27022934140134314,0.14027250020558552,0.001114961271153128,0.03339103579036038,0.019372880213831673,0.02257985619769946
32,33,0.06001334128985212,0.0400207435538991,6.270625324991799e-05,0.007918728007067674,0.02127585234433688,0.03308051880635605
