bus,v_pu_squared,V_magnitude_pu,p_inject_pu,q_inject_pu,P_inject_MW,Q_inject_MVar
1,1.0,1.0,0.5407758150162049,0.24913850478890393,5.407758150162048,2.491385047889039
2,0.9923318838166266,0.9961585635914729,-0.01,-0.006,-0.1,-0.06
3,0.9552978663828711,0.9773934041023967,-0.009,-0.004,-0.09,-0.04
4,0.9406363395988592,0.9698640830543521,-0.012,-0.008,-0.12,-0.08
5,0.926251226919055,0.9624194651601011,-0.006,-0.003,-0.06,-0.03
6,0.8909472276021834,0.9439000093241781,-0.006,-0.002,-0.06,-0.02
7,0.8843371195798061,0.9403920031453936,-0.02,-0.01,-0.2,-0.1
8,0.875191469122179,0.9355166856460546,-0.02,-0.01,-0.2,-0.1
9,0.8634253210598536,0.9292068236188613,-0.006,-0.002,-0.06,-0.02
10,0.8525825029844544,0.9233539424210276,-0.006,-0.002,-0.06,-0.02
11,0.8509847080859916,0.9224883240919592,-0.0045,-0.003,-0.045,-0.03
12,0.8482022048149588,0.9209789383123583,-0.006,-0.0035000000000000005,-0.06,-0.035
13,0.8369060358209479,0.914825686030376,-0.006,-0.0035000000000000005,-0.06,-0.035
14,0.8327365672739429,0.912544008403947,-0.012,-0.008,-0.12,-0.08
15,0.8301439903247672,0.9111223794445876,-0.006,-0.001,-0.06,-0.01
16,0.8276367443964154,0.9097454283459826,-0.006,-0.002,-0.06,-0.02
17,0.8239280162887089,0.9077048068004867,-0.006,-0.002,-0.06,-0.02
18,0.8228190287623439,0.9070937265588072,-0.009,-0.004,-0.09,-0.04
19,0.9912785636718788,0.9956297322156861,-0.009,-0.004,-0.09,-0.04
20,0.9841611510210785,0.9920489660400229,-0.009,-0.004,-0.09,-0.04
21,0.9827626047630824,0.991343837809608,-0.009,-0.004,-0.09,-0.04
22,0.9814980881649282,0.9907058535029094,-0.009,-0.004,-0.09,-0.04
23,0.9400882900710538,0.9695815025417172,-0.009,-0.005,-0.09,-0.05
24,0.9111338789489828,0.9545333304547217,-0.182,-0.02,-1.8199999999999998,-0.2
25,0.9046761789027463,0.9511446677045224,-0.041999999999999996,-0.02,-0.41999999999999993,-0.2
26,0.8872852992020112,0.9419582258263958,-0.006,-0.0025,-0.06,-0.025
27,0.8824306658975226,0.9393778078587564,-0.006,-0.0025,-0.06,-0.025
28,0.8609312436793876,0.927863806643727,-0.006,-0.002,-0.06,-0.02
29,0.8456497829172827,0.919592182936155,-0.012,-0.007000000000000001,-0.12,-0.07
30,0.8390771667691491,0.9160115538404247,-0.02,-0.06,-0.2,-0.6
31,0.8314213683255669,0.9118231014432387,-0.015,-0.007000000000000001,-0.15,-0.07
32,0.8297418645340218,0.9109016766556212,-0.020999999999999998,-0.01,-0.20999999999999996,-0.1
33,0.829221813149955,0.9106161722427046,-0.006,-0.004,-0.06,-0.04
