bus,v_pu_squared,V_magnitude_pu,p_inject_pu,q_inject_pu,P_inject_MW,Q_inject_MVar
1,1.0,1.0,0.5407758219974154,0.2491385103537605,5.407758219974154,2.491385103537605
2,0.9923318837728787,0.9961585635695146,-0.01,-0.006,-0.1,-0.06
3,0.9552978660232192,0.9773934039184116,-0.009,-0.004,-0.09,-0.04
4,0.9406363390388851,0.9698640827656653,-0.012,-0.008,-0.12,-0.08
5,0.9262512261772319,0.9624194647747062,-0.006,-0.003,-0.06,-0.03
6,0.8909472264894289,0.9439000087347329,-0.006,-0.002,-0.06,-0.02
7,0.8843371183941797,0.9403920025150042,-0.02,-0.01,-0.2,-0.1
8,0.8751914678460099,0.9355166849639882,-0.02,-0.01,-0.2,-0.1
9,0.8634253196290537,0.9292068228489574,-0.006,-0.002,-0.06,-0.02
10,0.8525825014073021,0.9233539415669931,-0.006,-0.002,-0.06,-0.02
11,0.8509847064877964,0.9224883232257178,-0.0045,-0.003,-0.045,-0.03
12,0.8482022031782426,0.9209789374237842,-0.006,-0.0035000000000000005,-0.06,-0.035
13,0.8369060340012701,0.914825685035827,-0.006,-0.0035000000000000005,-0.06,-0.035
14,0.8327365653754084,0.9125440073637043,-0.012,-0.008,-0.12,-0.08
15,0.8301439883589813,0.9111223783658161,-0.006,-0.001,-0.06,-0.01
16,0.8276367423557754,0.9097454272244381,-0.006,-0.002,-0.06,-0.02
17,0.8239280140998028,0.90770480559475,-0.006,-0.002,-0.06,-0.02
18,0.8228190265445043,0.9070937253363096,-0.009,-0.004,-0.09,-0.04
19,0.9912785635227248,0.9956297321407818,-0.009,-0.004,-0.09,-0.04
20,0.9841611503381885,0.9920489656958413,-0.009,-0.004,-0.09,-0.04
21,0.9827626040482007,0.9913438374490461,-0.009,-0.004,-0.09,-0.04
22,0.981498087430842,0.990705853132423,-0.009,-0.004,-0.09,-0.04
23,0.9400882897072753,0.9695815023541215,-0.009,-0.005,-0.09,-0.05
24,0.9111338785915406,0.9545333302674877,-0.18199999983696613,-0.02,-1.8199999983696613,-0.2
25,0.9046761785424217,0.9511446675151061,-0.041999999999999996,-0.02,-0.41999999999999993,-0.2
26,0.887285298058407,0.9419582252193602,-0.006,-0.0025,-0.06,-0.025
27,0.8824306647163682,0.9393778072300666,-0.006,-0.0025,-0.06,-0.025
28,0.8609312423708713,0.927863805938604,-0.006,-0.002,-0.06,-0.02
29,0.8456497815408768,0.9195921821877765,-0.012,-0.007000000000000001,-0.12,-0.07
30,0.8390771653641285,0.9160115530735016,-0.020000000163122648,-0.06,-0.20000000163122647,-0.6
31,0.8314213668876894,0.9118231006547758,-0.015,-0.007000000000000001,-0.15,-0.07
32,0.8297418630869772,0.9109016758613288,-0.020999999999999998,-0.01,-0.20999999999999996,-0.1
33,0.8292218116971837,0.9106161714450187,-0.006,-0.004,-0.06,-0.04
